date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_D_1,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,coronaImpact
2021-05-22 20:00:00,2021,20,20,22,620,0.0,0.0,697.7147491708647,0.0681002396695903,0.1280267466900897,0.1014546112186081,0.430786367694867
2021-05-22 21:00:00,2021,20,21,22,621,0.0,0.0,255.44174026669398,0.22395986987417058,0.05704172100775575,0.23691790496080653,0.430786367694867
2021-05-22 22:00:00,2021,20,22,22,622,0.0,0.0,372.094547584119,0.232813867341827,0.06825977662898276,0.23056055305041342,0.430786367694867
2021-05-22 23:00:00,2021,20,23,22,623,0.0,0.0,62.48642507972313,0.24683060370881363,0.05920441539525484,0.2298632408490343,0.430786367694867
2021-05-23 12:00:00,2021,20,12,23,712,0.0,0.0,153.250882411915,0.27881139912105535,0.1997258980242434,0.28036306404067396,0.430786367694867
2021-05-23 13:00:00,2021,20,13,23,713,0.0,0.0,161.66749391713964,0.17793384868570108,0.20556453295738764,0.20609878994137923,0.430786367694867
2021-05-23 14:00:00,2021,20,14,23,714,0.0,0.0,140.17959982870045,0.06529588067562625,0.2165238754193146,0.12129315067011726,0.430786367694867
2021-05-23 15:00:00,2021,20,15,23,715,0.0,0.0,210.82154952171248,-0.03797947067743737,0.22910104450021518,0.04310846821342358,0.430786367694867
2021-05-23 16:00:00,2021,20,16,23,716,0.0,0.0,278.01233643774066,-0.1307279787921229,0.21255727049501794,-0.03139083801111056,0.430786367694867
2021-05-23 17:00:00,2021,20,17,23,717,0.0,0.0,139.03464143825434,-0.2271805163014017,0.1958844096913288,-0.1058235830971093,0.430786367694867
2021-05-23 18:00:00,2021,20,18,23,718,0.0,0.0,521.981067559908,-0.3177140887570729,0.17028950569176746,-0.179757240719497,0.430786367694867
2021-05-23 19:00:00,2021,20,19,23,719,0.0,0.0,404.99743702876,-0.33265705440018306,0.1325891495369011,-0.1898295859122192,0.430786367694867
2021-05-23 20:00:00,2021,20,20,23,720,0.0,0.0,272.68938443037445,-0.3342600994487919,0.0857024869556951,-0.18404591359955824,0.430786367694867
2021-05-23 21:00:00,2021,20,21,23,721,0.0,0.0,183.5430055625642,-0.3469696734264158,0.04419665240767078,-0.18787636463811822,0.430786367694867
2021-05-24 12:00:00,2021,21,12,24,112,0.0,0.0,105.32153801249288,0.4073790158895284,0.14110429776231834,0.4295732240537142,0.6475760493345131
2021-05-24 13:00:00,2021,21,13,24,113,0.0,0.0,173.11254531813043,0.38021200431204255,0.11087638132554944,0.4228426857691675,0.6475760493345131
2021-05-24 14:00:00,2021,21,14,24,114,0.0,0.0,131.9949153685077,0.3547193940610041,0.0835072191228029,0.4125261239797142,0.6475760493345131
2021-05-24 15:00:00,2021,21,15,24,115,0.0,0.0,321.0459331146233,0.35312024778821377,0.03932826748565671,0.4022673372475423,0.6475760493345131
2021-05-24 16:00:00,2021,21,16,24,116,0.0,0.0,159.340381127105,0.30417277290720407,0.010883922375253074,0.3334872452162353,0.6475760493345131
2021-05-24 17:00:00,2021,21,17,24,117,0.0,0.0,304.8851379454709,0.2798400555777525,-0.032352902005210446,0.2656963728492274,0.6475760493345131
2021-05-24 18:00:00,2021,21,18,24,118,0.0,0.0,578.4958718934074,0.2531095373305917,-0.06885119223791765,0.19458694691115125,0.6475760493345131
2021-05-24 19:00:00,2021,21,19,24,119,0.0,0.0,426.96037932213653,0.32883175170727075,-0.05185510684861362,0.2622965654972269,0.6475760493345131
2021-05-24 20:00:00,2021,21,20,24,120,0.0,0.0,504.1432185368703,0.394702383062331,-0.04880488612194729,0.3231603034734243,0.6475760493345131
2021-05-24 21:00:00,2021,21,21,24,121,0.0,0.0,200.32005798891245,0.466037306072509,-0.035763983101619705,0.38799660333592856,0.6475760493345131
