date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_D_1,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,coronaImpact,yhat
2019-12-04 15:00:00,2019,49,15,4,315,4469.240556035498,113.47129506008012,205.0123295081099,-0.530124133565235,-0.2585305660868169,-0.4640798998818964,1.0,86.1694023403754
2019-12-04 16:00:00,2019,49,16,4,316,4469.240556035498,155.3781512605042,159.0805256038352,-0.5158169054215783,-0.2422682229260285,-0.468353938932835,1.0,163.4822901123066
2019-12-04 17:00:00,2019,49,17,4,317,4469.240556035498,286.1937485274484,283.8293311261301,-0.4865627602845775,-0.2340906216174981,-0.4590016348858944,1.0,122.72912903479148
2019-12-04 18:00:00,2019,49,18,4,318,4469.240556035498,695.1904500117805,418.5201696552994,-0.4703372295977789,-0.2294687191325779,-0.4599887679284357,1.0,463.38961752925474
2019-12-04 19:00:00,2019,49,19,4,319,4469.240556035498,736.196497290505,607.4575526770473,-0.4560974063817271,-0.2149635656317304,-0.4513783041184655,1.0,496.282101625697
2019-12-04 20:00:00,2019,49,20,4,320,4469.240556035498,843.5714285714286,750.773546782389,-0.4426299316780695,-0.1873726618078388,-0.4428525364037781,1.0,922.6246760386398
2019-12-04 21:00:00,2019,49,21,4,321,4469.240556035498,364.873949579832,664.116340912837,-0.4286288046403253,-0.1811257608441066,-0.4316199359699474,1.0,317.960025131548
2019-12-04 22:00:00,2019,49,22,4,322,4469.240556035498,131.06926882902695,344.9377614456445,-0.4416526431099995,-0.1636327424898254,-0.4455597439195256,1.0,413.73949579831935
2019-12-05 12:00:00,2019,49,12,5,412,5860.552030157858,769.1596638655462,843.952816294259,-0.4697615712097598,0.0773484273648105,-0.4923681331011266,1.0,611.7226890756302
2019-12-05 13:00:00,2019,49,13,5,413,5860.552030157858,331.218487394958,383.7769915994828,-0.4802796496840243,0.036055499918876,-0.4949705829950646,1.0,402.52100840336135
2019-12-05 14:00:00,2019,49,14,5,414,5860.552030157858,195.86075551716013,250.2094138430949,-0.492291370243993,0.0058310126316456,-0.4982488519146217,1.0,246.4705882352941
2019-12-05 15:00:00,2019,49,15,5,415,5860.552030157858,78.78151260504202,71.77034112291824,-0.5020207502173427,-0.0316874149900079,-0.5005799934360693,1.0,129.6205921620985
2019-12-05 16:00:00,2019,49,16,5,416,5860.552030157858,288.7968271420718,173.10796176406234,-0.4920560405129887,-0.0468689197240361,-0.5002088328340851,1.0,101.72268907563026
2019-12-05 17:00:00,2019,49,17,5,417,5860.552030157858,376.279745543077,174.6450909189007,-0.4893405644813752,-0.0477804787053028,-0.5022578909825877,1.0,264.0520694259012
2019-12-05 18:00:00,2019,49,18,5,418,5860.552030157858,437.6050420168068,648.9966946189697,-0.4810592441199003,-0.0636402577590075,-0.5048006859476455,1.0,503.2097698892641
2019-12-05 19:00:00,2019,49,19,5,419,5860.552030157858,1151.9469096049636,590.1960750928231,-0.4081416599734008,-0.0841197550369622,-0.4467483742528341,1.0,737.8571428571429
2019-12-05 20:00:00,2019,49,20,5,420,5860.552030157858,816.9080342417341,856.2929338566657,-0.3429612400785976,-0.099869862758603,-0.3925099855631438,1.0,922.6026859341868
2019-12-05 21:00:00,2019,49,21,5,421,5860.552030157858,1018.0958925626326,592.4189424091381,-0.2674071588360808,-0.1188296416471987,-0.3348665684465255,1.0,428.674624990183
2019-12-05 22:00:00,2019,49,22,5,422,5860.552030157858,395.89915966386553,397.0034208091564,-0.3303616262673033,-0.1110519123418201,-0.3838912078045586,1.0,215.7142857142857
2019-12-06 12:00:00,2019,49,12,6,512,9033.1413649572,652.9769103903244,569.1146326685914,-0.4864591323727594,0.0264214135716111,-0.4991326449994043,1.0,338.69747899159665
2019-12-06 13:00:00,2019,49,13,6,513,9033.1413649572,876.3017356475301,480.8367146331716,-0.476642481932108,0.0310332147395062,-0.4935505883402962,1.0,234.6638655462185
2019-12-06 14:00:00,2019,49,14,6,514,9033.1413649572,599.0756302521008,343.1539680552467,-0.4661045379181472,0.0376623260717411,-0.4883510259558215,1.0,333.8655462184874
2019-12-06 15:00:00,2019,49,15,6,515,9033.1413649572,794.1726223199561,235.3137911539192,-0.4525838580829026,0.0424032140381281,-0.4816730711721981,1.0,241.70894526034712
2019-12-06 16:00:00,2019,49,16,6,516,9033.1413649572,510.2411057881096,203.18680726916423,-0.4216000004699154,0.0189749551770576,-0.4607103306884166,1.0,446.39165946752536
2019-12-06 17:00:00,2019,49,17,6,517,9033.1413649572,515.4433362129898,438.707118294675,-0.3870175499913417,-0.0042726211393172,-0.436269374584934,1.0,273.5321605277625
2019-12-06 18:00:00,2019,49,18,6,518,9033.1413649572,1333.69590826985,614.4535781184284,-0.3519035531966329,-0.0372496017697327,-0.4154949811021917,1.0,1044.9681928846303
2019-12-06 19:00:00,2019,49,19,6,519,9033.1413649572,753.7065106416399,812.2013145805614,-0.2902209388647523,-0.0372936699179482,-0.3695457532136105,1.0,565.7142857142858
2019-12-06 20:00:00,2019,49,20,6,520,9033.1413649572,1190.1904500117805,853.4422053443117,-0.2335726225465983,-0.0321189223077664,-0.3269712868823434,1.0,1248.4873949579833
2019-12-06 21:00:00,2019,49,21,6,521,9033.1413649572,1025.6600172779392,758.9911057138997,-0.1745265053107348,-0.0336827088453409,-0.281542004649678,1.0,887.1844812691432
2019-12-06 22:00:00,2019,49,22,6,522,9033.1413649572,553.0216759601037,534.475188357033,0.0630035906292707,-0.0273453460764216,-0.1029229723238509,1.0,1086.218487394958
2019-12-06 23:00:00,2019,49,23,6,523,9033.1413649572,228.65546218487395,381.5006756332375,0.2989430401589533,-0.0052492977342592,0.0782430884931218,1.0,527.7349407052541
2019-12-07 12:00:00,2019,49,12,7,612,10497.319877483704,520.7331343752454,535.0835586562799,0.5207204595217,0.0536991295550532,0.2875412730034228,1.0,819.4537815126051
2019-12-07 13:00:00,2019,49,13,7,613,10497.319877483704,1042.1903714756932,577.8290228869682,0.5037460204781616,0.0528989402967231,0.2712869136374619,1.0,1149.4506400691118
2019-12-07 14:00:00,2019,49,14,7,614,10497.319877483704,845.7433440665986,667.9903235693508,0.4823842900681224,0.0481435686694166,0.2518726071083984,1.0,1005.0675410351056
2019-12-07 15:00:00,2019,49,15,7,615,10497.319877483704,1029.6638655462186,661.793427426258,0.4668455561727241,0.0419438811079936,0.2361476424204451,1.0,807.9274326553051
